,country
0,United States
1,Greece
2,Germany
3,France
4,United Kingdom
5,Hungary
6,Austria
7,Australia
8,Denmark
9,Switzerland
10,Mixed team
11,France
12,United States
13,United Kingdom
14,Belgium
15,Switzerland
16,Germany
17,Italy
18,Denmark
19,Mixed team
20,Netherlands
21,Hungary
22,Cuba
23,Spain
24,Austria
25,Norway
26,India
27,Bohemia
28,Australia
29,Sweden
30,United States
31,Germany
32,Canada
33,Cuba
34,Hungary
35,United Kingdom
36,Greece
37,Mixed team
38,United Kingdom
39,United States
40,Sweden
41,France
42,Germany
43,Hungary
44,Canada
45,Norway
46,Italy
47,Belgium
48,Australasia
49,Russian Federation
50,Finland
51,South Africa
52,Greece
53,Denmark
54,Bohemia
55,Netherlands
56,Austria
57,United States
58,Sweden
59,United Kingdom
60,Finland
61,France
62,Germany
63,Italy
64,South Africa
65,Norway
66,Canada
67,Hungary
68,Australasia
69,Belgium
70,Denmark
71,Greece
72,Switzerland
73,Russian Federation
74,Austria
75,Netherlands
76,United States
77,Sweden
78,Belgium
79,Finland
80,United Kingdom
81,Italy
82,Norway
83,France
84,Netherlands
85,Denmark
86,South Africa
87,Canada
88,Switzerland
89,Estonia
90,Brazil
91,Australia
92,Japan
93,Spain
94,Greece
95,Luxembourg
96,Czechoslovakia
97,New Zealand
98,United States
99,United States
100,France
101,France
102,Finland
103,Finland
104,United Kingdom
105,United Kingdom
106,Italy
107,Italy
108,Switzerland
109,Switzerland
110,Norway
111,Norway
112,Sweden
113,Sweden
114,Netherlands
115,Netherlands
116,Belgium
117,Belgium
118,Australia
119,Australia
120,Denmark
121,Denmark
122,Hungary
123,Hungary
124,Yugoslavia
125,Yugoslavia
126,Czechoslovakia
127,Czechoslovakia
128,Argentina
129,Argentina
130,Estonia
131,Estonia
132,South Africa
133,South Africa
134,Luxembourg
135,Luxembourg
136,Greece
137,Greece
138,Uruguay
139,Uruguay
140,Austria
141,Austria
142,Canada
143,Canada
144,Ireland
145,Ireland
146,Poland
147,Poland
148,Haiti
149,Haiti
150,Japan
151,Japan
152,Monaco
153,Monaco
154,New Zealand
155,New Zealand
156,Portugal
157,Portugal
158,Romania
159,Romania
160,United States
161,United States
162,Germany
163,Germany
164,Netherlands
165,Netherlands
166,Finland
167,Finland
168,France
169,France
170,Sweden
171,Sweden
172,Italy
173,Italy
174,Switzerland
175,Switzerland
176,Hungary
177,Hungary
178,United Kingdom
179,United Kingdom
180,Canada
181,Canada
182,Argentina
183,Argentina
184,Denmark
185,Denmark
186,Austria
187,Austria
188,Czechoslovakia
189,Czechoslovakia
190,Japan
191,Japan
192,Poland
193,Poland
194,Estonia
195,Estonia
196,Egypt
197,Egypt
198,Australia
199,Australia
200,Norway
201,Norway
202,Yugoslavia
203,Yugoslavia
204,South Africa
205,South Africa
206,India
207,India
208,Ireland
209,Ireland
210,Luxembourg
211,Luxembourg
212,New Zealand
213,New Zealand
214,Spain
215,Spain
216,Uruguay
217,Uruguay
218,Belgium
219,Belgium
220,Chile
221,Chile
222,Haiti
